School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,P.S. 130 Abram Stevens Hewitt,X130,X,8,1524,2055 MAPES AVENUE CONSOLIDATED LOCATION,2,353,MS 123X,M.S. 129 Academy for Independent Learning and Lead |  Kappa III |  2055 MAPES AVENUE CONSOLIDATED LOCATION,3,2,5,4,1,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,"750 PROSPECT AVENUE\n(40.052985, -77.542255)",10455,40.817721,-73.902421,2,17,85,2005168,2026880001,Longwood
2016 - 17,132-10 JAMAICA AVENUE,Q383,Q,28,304,,1,889,PS 048Q,East Elmhurst Community School,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"132 10 JAMAICA AVENUE\n(40.702205, -73.819955)",11418,40.702156,-73.820209,9,29,14202,4196343,4093400104,Richmond Hill
2016 - 17,P.S. 047 John Randolph,X047,X,12,405,1825 PROSPECT AVENUE CONSOLIDATED LOCATION,2,519,PS/MS 037X,P.S. 044 David C. Farragut |  Accion Academy |  1825 PROSPECT AVENUE CONSOLIDATED LOCATION,0,0,3,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"1794 EAST 172 STREET\n(40.832885, -73.867042)",10472,40.832902,-73.866848,9,18,76,2025622,2037860016,West Farms-Bronx River
2016 - 17,1551 EAST 172ND STREET CONSOLIDATED LOCATION,X423,X,12,1671,1300 BOYNTON AVENUE CONSOLIDATED LOCATION,4,529,WILLIAM H. TAFT HIGH SCHOOL,Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures|Monroe Academy for Visual Arts & Design|1300 BOYNTON AVENUE CONSOLIDATED LOCATION,4,7,17,7,3,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,"1551 EAST 172ND STREET\n(40.831459, -73.877455)",10472,40.831416,-73.877785,9,18,56,2117663,2038640012,West Farms-Bronx River
2016 - 17,The High School of Fashion Industries,M600,M,2,525,525 WEST  50TH STREET CONSOLIDATED LOCATION,5,670,MURRY BERGTRAUM HS,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"225 WEST 24 STREET\n(42.515383, -96.414953)",10011,40.745156,-73.996074,4,3,91,1014174,1007740019,Hudson Yards-Chelsea-Flatiron-Union Square
2016 - 17,"School for Human Rights, The",K531,K,17,1956,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,6,184,JOHN JAY HS,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",3,3,17,2,4,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,"600 KINGSTON AVENUE\n(40.658787, -73.942431)",11203,40.658893,-73.942458,9,40,810,3107227,3048110001,Prospect Lefferts Gardens-Wingate
2016 - 17,P.S. 186 Dr. Irving A Gladstone,K186,K,20,673,,1,1145,PS 183K,P.S. 185 Walter Kassenbrock,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"7601 19 AVENUE\n(40.611293, -73.994879)",11214,40.611483,-73.994677,11,47,274,3160923,3062390001,Bensonhurst West
2016 - 17,P.S. 101 The Verrazano,K101,K,21,885,,1,1195,PS 100K,P.S. 101 The Verrazano,0,0,1,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"2360 BENSON AVENUE\n(40.062408, -75.045354)",11214,40.597863,-73.991693,11,47,302,3185973,3068750032,Bensonhurst East
2016 - 17,45-10 94TH STREET CONSOLIDATED LOCATION,Q744,Q,24,498,45-10 94TH STREET CONSOLIDATED LOCATION,4,750,John F. Kennedy Jr. School (old OTC 721Q),Civic Leadership Academy |  Pan American International High School |  Corona Arts and Sciences Academy |  VOYAGES Preparatory |  45-10 94TH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"45 10 94TH STREET\n(40.743357, -73.870547)",11373,40.74373,-73.870642,4,25,463,4437166,4016000061,Elmhurst
2016 - 17,Belmont Preparatory High School,X434,X,10,2397,2780 RESERVOIR AVENUE CONSOLIDATED LOCATION,6,1402,The Cinema School,"Kingsbridge International High School |  International School for Liberal Arts |  High School for Teaching and the Professions |  Celia Cruz Bronx High School of Music, The |  Walton Yabc |  Discovery High School |  2780 RESERVOIR AVENUE CONSOLIDATED LOCATION",2,14,50,1,12,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,"500 EAST FORDHAM ROAD\n(40.859933, -73.888168)",10458,40.860043,-73.888267,6,15,387,2011810,2030590001,Belmont
2016 - 17,Tompkins Square Middle School,M839,M,1,331,600 EAST  6 STREET CONSOLIDATED LOCATION,3,687,PS 061M,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"600 EAST 6 STREET\n(45.185051, -89.691868)",10009,40.72438,-73.98138,3,2,2601,1004627,1003870001,Lower East Side
2016 - 17,The STAR Academy - P.S.63,M063,M,1,1012,610 EAST  12 STREET CONSOLIDATED LOCATION,2,663,JHS 056M,The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION,0,1,0,1,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"121 EAST 3 STREET\n(40.599846, -77.573396)",10009,40.724117,-73.986381,3,2,32,1005760,1004310014,East Village
2016 - 17,800 HOME STREET CONSOLIDATED LOCATION,X158,X,12,342,750 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,3,403,PS 150X,Concourse Village Elementary School|Performance School|Bronx Global Learning Institute for Girls Charter|750 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"800 HOME STREET\n(44.819227, -89.17371)",10456,40.827743,-73.900105,3,16,131,2004868,2026710011,Longwood
2016 - 17,J.H.S. 190 Russell Sage,Q190,Q,28,722,144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,2,816,PS 184Q,J.H.S. 189 Daniel Carter Beard |  Flushing International High School |  144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"68 17 AUSTIN STREET\n(42.260584, -71.125873)",11375,40.722707,-73.851699,6,29,71305,4075214,4031720002,Forest Hills
2016 - 17,Frederick Douglass Academy II Secondary School,M860,M,3,309,215 WEST 114 STREET CONSOLIDATED LOCATION,2,588,PS 083M,Wadleigh Secondary School for the Performing & Vis |  Frederick Douglass Academy II Secondary School |  215 WEST 114 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"215 WEST 114 STREET\n(32.923885, -97.07699)",10026,40.802207,-73.954142,10,9,218,1055204,1018300019,Central Harlem South
2016 - 17,P.S. 175 Henry H Garnet,M175,M,5,548,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,2,545,IS 167M,P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"175 WEST 134 STREET\n(42.21484, -71.012673)",10030,40.814422,-73.943664,10,9,228,1058248,1019190006,Central Harlem North-Polo Grounds
2016 - 17,P.S. 199 Frederick Wachtel,K199,K,21,447,,1,105,PS 196K,P.S. 198 Brooklyn,0,0,2,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"1100 ELM AVENUE\n(35.001516, -85.712985)",11230,40.616632,-73.963476,14,48,768,3180761,3067400025,Midwood
2016 - 17,351 WEST  18 STREET CONSOLIDATED LOCATION,M440,M,2,643,351 WEST  18 STREET CONSOLIDATED LOCATION,6,NaN,#N/A,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"351 WEST 18 STREET\n(26.777123, -80.061719)",10011,40.742867,-74.002136,4,3,89,1013096,1007420007,Hudson Yards-Chelsea-Flatiron-Union Square
2016 - 17,P.S. 084 Lillian Weber,M084,M,3,806,219 EAST 109 STREET CONSOLIDATED LOCATION,2,586,PS 075M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1,0,1,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"32 WEST 92 STREET\n(39.605645, -74.210596)",10025,40.789526,-73.967574,7,6,177,1081042,1012050006,Upper West Side
2016 - 17,The Children's Lab School,Q343,Q,24,930,,1,1363,PS 13 Annex,P.S. 092 Harry T. Stewart Sr.,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"45 45 42ND STREET\n(40.591318, -74.763288)",11104,40.742572,-73.922603,2,26,18102,4540402,4001690006,Hunters Point-Sunnyside-West Maspeth
2016 - 17,P.S. 011 Purvis J. Behan,K011,K,13,876,,1,53,PS 011K,P.S. 011 Purvis J. Behan,0,3,1,1,2,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"419 WAVERLY AVENUE\n(39.215979, -76.602789)",11238,40.685491,-73.966291,2,35,199,3332865,3019620010,Clinton Hill
2016 - 17,P.S. 029 Bardwell,R029,R,31,1298,,1,988,PS 014R,I.S. 024 Myra S. Barnes,0,1,6,0,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"1581 VICTORY BOULEVARD\n(40.61358, -74.116167)",10314,40.613604,-74.115988,1,50,147,5009028,5003310001,Westerleigh
2016 - 17,Home Instruction,M501,M,2,449,439 WEST 49TH STREET CONSOLIDATED LOCATION,4,671,NORMAN THOMAS HS,Stephen T. Mather Building Arts & Craftsmanship Hi|  BUSINESS OF SPORTS SCHOOL|  Urban Assembly Gateway School for Technology| Success Academy Hell's Kitchen|  439 West 49th Street CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"250 WEST HOUSTON STREET\n(40.728635, -74.00575)",10014,40.728677,-74.005993,2,3,67,1009757,1005810054,West Village
2016 - 17,2055 MAPES AVENUE CONSOLIDATED LOCATION,X129,X,12,1119,1560 PURDY STREET CONSOLIDATED LOCATION,2,357,MS 301X,J.H.S. 127 The Castle Hill |  Linden Tree Elementary School |  1560 PURDY STREET CONSOLIDATED LOCATION,1,2,5,3,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"2055 MAPES AVENUE\n(40.845791, -73.886258)",10460,40.845878,-73.886184,6,15,371,2012957,2031090001,East Tremont
2016 - 17,P.S. 168,X168,X,7,880,,1,342,IS 174X,M.S. 180 Dr. Daniel Hale Williams,0,2,2,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"339 MORRIS AVENUE\n(41.88572, -87.880889)",10451,40.813641,-73.925313,1,8,51,2000957,2023330070,Mott Haven-Port Morris
2016 - 17,BROOKLYN EXCELSIOR CHARTER SCHOOL(BN),K731,K,16,991,,1,1078,BROOKLYN COLLEGE ACADEMY,BROOKLYN PROSPECT CHARTER SCHOOL(BS),0,1,0,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"856 QUINCY STREET\n(33.952619, -86.471126)",11221,40.689842,-73.925506,3,41,387,3044597,3016330058,Stuyvesant Heights
2016 - 17,Life Sciences Secondary School,M655,M,2,616,16 CLARKSON STREET CONSOLIDATED LOCATION,3,656,HS GRAPHIC COMM. ARTS,Home Instruction |  High School M560 - City As School |  P.S. M721 - Manhattan Occupational Training Center,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"320 EAST 96 STREET\n(40.783529, -73.945399)",10128,40.783625,-73.945637,8,5,15601,1050338,1015580034,Yorkville
2016 - 17,Home Instruction - Brooklyn,K503,K,21,242,3000 WEST 1 STREET CONSOLIDATED LOCATION,2,1094,PS 156K,P.S. 370 |  Home Instruction - Brooklyn |  3000 WEST 1 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"3000 WEST 1 STREET\n(40.577533, -73.969551)",11224,40.57752,-73.969517,13,48,35602,3196587,3072740107,West Brighton
2016 - 17,P.S. 124 Osmond A Church,Q124,Q,27,939,,1,915,PS 115Q,P.S. 121 Queens,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"129 15 150 AVENUE\n(29.99739, -91.78289)",11420,40.665058,-73.811701,10,28,84602,4257530,4118820001,South Ozone Park
2016 - 17,KAPPA IV,M302,M,5,274,6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,4,603,PS 132M,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"6 EDGECOMBE AVENUE\n(40.817202, -73.947815)",10030,40.817372,-73.947712,10,9,22102,1059460,1019600001,Central Harlem North-Polo Grounds
2016 - 17,Yorkville Community School,M151,M,2,952,600 EAST  6 STREET CONSOLIDATED LOCATION,3,687,PS 061M,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,1,1,3,2,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"421 EAST 88 STREET\n(33.125431, -87.531042)",10128,40.777911,-73.947757,8,5,14402,1050618,1015680008,Yorkville
2016 - 17,High School of Sports Management,K348,K,21,367,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,1162,PAL AUXILARY SERVICES,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"2630 BENSON AVENUE\n(40.594021, -73.98532)",11214,40.594291,-73.98577,13,47,306,3186454,3068830001,Gravesend
2016 - 17,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,K171,K,19,458,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,2,241,PS 169K,I.S. 171 Abraham Lincoln |  Highland Park Community School |  528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"528 RIDGEWOOD AVENUE\n(40.686205, -73.869562)",11208,40.68618,-73.869625,5,37,1184,3092456,3041340020,Cypress Hills-City Line
2016 - 17,Mount Eden Children's Academy,X555,X,9,615,,1,409,PS 198X,The School of Science and Applied Learning,0,0,4,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"1501 JEROME AVENUE\n(39.765336, -89.677879)",10452,40.842495,-73.916082,4,14,209,2008336,2028590077,West Concourse
2016 - 17,P.S. 133 Fred R Moore,M133,M,5,656,185 WADSWORTH AVENUE CONSOLIDATED LOCATION,2,695,PS 130M,Dos Puentes Elementary School | P.S. 132 Juan Pable Duarte| 185 WADSWORTH AVENUE CONSOLIDATED LOCATION,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"2121 5 AVENUE\n(44.064459, -103.278982)",10037,40.809672,-73.939872,11,9,206,1054276,1017550001,Central Harlem North-Polo Grounds
2016 - 17,P.S. 21 Margaret Emery-Elm Park,R021,R,31,575,,1,1110,IS 7R,P.S. 018 John G. Whittier,0,3,0,2,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"168 HOOKER PLACE\n(40.631473, -74.143984)",10302,40.631523,-74.144297,1,49,213,5026335,5011350001,Port Richmond
2016 - 17,P.S. Q811,Q811,Q,26,218,,1,1269,FRANK SINATRA HS,North Queens Community High School,1,3,0,1,3,2C,1-250,0.24,0.71,1.71,0.51,0.32,"61 25 MARATHON PARKWAY\n(40.756549, -73.729325)",11362,40.756778,-73.729487,11,23,152902,4173060,4083610001,Douglas Manor-Douglaston-Little Neck
2016 - 17,P.S. 134 George F. Bristow,X134,X,12,469,885 BOLTON AVENUE CONSOLIDATED LOCATION,2,348,JHS 125X,J.H.S. 131 Albert Einstein |  Soundview Academy for Culture and Scholarship |  885 BOLTON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1330 BRISTOW STREET\n(40.831588, -73.894841)",10459,40.83132,-73.894794,3,17,153,2010273,2029650082,Crotona Park East
2016 - 17,Urban Assembly Gateway School for Technology,M507,M,2,378,439 WEST 49TH STREET CONSOLIDATED LOCATION,4,671,NORMAN THOMAS HS,Stephen T. Mather Building Arts & Craftsmanship Hi|  BUSINESS OF SPORTS SCHOOL|  Urban Assembly Gateway School for Technology| Success Academy Hell's Kitchen|  439 West 49th Street CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"439 WEST 49TH STREET\n(31.510874, -100.46673)",10019,40.76337,-73.990593,4,3,127,1026646,1010590015,Clinton
2016 - 17,Institute for Health Professions at Cambria Height,Q243,Q,29,NaN,101-01 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION,2,857,JAMAICA HS,John Adams High School|John Adams Yabc|101-01 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,"207 01 116TH AVENUE\n(40.69778, -73.74585)",11411,40.697819,-73.745728,13,27,53401,4238003,4110490001,Cambria Heights
2016 - 17,I.S. R002 George L. Egbert,R002,R,31,335,,1,1434,Cambria Heights Academy,P.S. Q023 @ Queens Children Center,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"333 MIDLAND AVENUE\n(40.989587, -73.670906)",10306,40.576725,-74.100726,2,50,11202,5053571,5036960100,New Dorp-Midland Beach
2016 - 17,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,K057,K,16,325,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,3,72,PS 056K,J.H.S. 057 Whitelaw Reid |  Fredrick Douglass Academy IV Secondary School |  The Brooklyn Academy of Global Finance |  125 STUYVESANT AVENUE CONSOLIDATED LOCATION,1,3,8,1,3,3C,251-500,0.27,0.9,1.67,0.63,0.44,"125 STUYVESANT AVENUE\n(40.951427, -73.690991)",11221,40.691274,-73.933697,3,36,291,3043822,3016160001,Stuyvesant Heights
2016 - 17,P.S. 091 The Albany Avenue School,K091,K,17,339,,1,212,PS 090K,P.S. 091 The Albany Avenue School,0,1,1,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"532 ALBANY AVENUE\n(41.943484, -73.997471)",11203,40.661886,-73.93994,9,41,806,3106599,3047940026,Prospect Lefferts Gardens-Wingate
2016 - 17,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,M173,M,6,742,19 EAST 103 STREET CONSOLIDATED LOCATION,2,617,PS 165M,P.S. 171 Patrick Henry |  Central Park East II |  19 EAST 103 STREET CONSOLIDATED LOCATION,0,5,2,3,2,4C,501-750,0.28,1.11,1.74,0.75,0.53,"306 FORT WASHINGTON AVENUE\n(40.141567, -75.207516)",10033,40.845469,-73.940468,12,10,263,1063503,1021420154,Washington Heights South
2016 - 17,The Academy for Excellence through the Arts,Q003,Q,28,508,,1,1266,PS/IS 278,SPRUCE STREET SCHOOL,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"108 55 69 AVENUE\n(36.0878, -79.52861)",11375,40.725098,-73.845091,6,29,739,4052265,4022180021,Forest Hills
2016 - 17,P.S./ IS 178 Holliswood,Q178,Q,26,786,,1,812,PS 169Q,P.S. 175 The Lynn Gross Discovery School,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"189 10 RADNOR ROAD\n(40.785816, -77.820381)",11423,40.724479,-73.777454,8,23,1277,4156558,4072770001,Jamaica Estates-Holliswood
2016 - 17,Isaac Newton Middle School for Math & Science,M825,M,4,377,1 Peck Slip,1,NaN,#N/A,The Peck Slip School | 1 Peck Slip,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"260 PLEASANT AVENUE\n(38.370274, -86.340305)",10029,40.793856,-73.934028,11,8,178,1053152,1017130001,East Harlem North
2016 - 17,Brooklyn Environmental Exploration School (BEES),K664,K,23,89,251 MCDOUGAL STREET CONSOLIDATED LOCATION,2,1400,East New York Elementary School of Excellence,Brooklyn Landmark Elementary School |  Brooklyn Environmental Exploration School (BEES) |  251 MCDOUGAL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"251 MCDOUGAL STREET\n(33.338527, -89.747595)",11233,40.680318,-73.910644,16,37,369,3041561,3015280001,Ocean Hill
2016 - 17,P.S. 005 Dr. Ronald Mcnair,K005,K,16,209,,1,50,PS 005K,P.S. 005 Dr. Ronald Mcnair,1,0,0,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"820 HANCOCK STREET\n(36.062905, -78.879762)",11233,40.685695,-73.922463,3,41,377,3039906,3014900001,Stuyvesant Heights
2016 - 17,P.S. 111 Seton Falls,X111,X,11,829,580 CROTONA PARK SOUTH CONSOLIDATED LOCATION,2,388,PS 102X,P.S. 110 Theodore Schoenfeld |  Mott Hall III |  580 CROTONA PARK SOUTH CONSOLIDATED LOCATION,0,2,0,2,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"3740 BAYCHESTER AVENUE\n(40.884209, -73.840213)",10466,40.884343,-73.840254,12,12,484,2065992,2049160001,Eastchester-Edenwald-Baychester
2016 - 17,Kappa V,K518,K,23,1411,985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,4,25,IS 271K,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,2,3,7,1,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"985 ROCKAWAY AVENUE\n(40.656403, -73.907346)",11212,40.656068,-73.907245,16,42,922,3082940,3036360007,Brownsville
2016 - 17,Brooklyn School of Inquiry,K686,K,20,360,50 AVENUE P CONSOLIDATED LOCATION,2,274,PS 233K,The Academy of Talented Scholars |  Brooklyn School of Inquiry |  50 AVENUE P CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"50 AVENUE\n(33.157296, -99.746703)",11204,40.60731,-73.986595,11,44,428,3396829,3066180001,Bensonhurst East
2016 - 17,P.S. X010,X010,X,8,436,1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,1,492,PS 094X,Metropolitan High School | 1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,1,8,4,6,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"2750 LAFAYETTE AVENUE\n(38.615287, -90.225165)",10465,40.827471,-73.829753,10,13,152,2080231,2055470001,Schuylerville-Throgs Neck-Edgewater Park
2016 - 17,43-18 97TH PLACE,Q315,Q,24,537,,1,NaN,#N/A,Corona Arts & Sciences Academy | 98-11 44th Avenue,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"43 18 97TH PLACE\n(40.745883, -73.866302)",11368,40.745995,-73.866372,4,21,375,4439257,4016130017,North Corona
2016 - 17,500 WEST 138 STREET CONSOLIDATED LOCATION,M192,M,6,425,,1,625,PS 185M,P.S. 191 Amsterdam,1,0,2,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"500 WEST 138 STREET\n(42.42416, -72.123709)",10031,40.820953,-73.951145,9,7,22301,1084132,1019880166,Manhattanville
2016 - 17,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS),K356,K,17,1089,1224 PARK PLACE CONSOLIDATED LOCATION,2,134,PS 380K,The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,0,2,4,2,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"790 EAST NEW YORK AVENUE\n(40.662442, -73.936593)",11203,40.662447,-73.936382,9,41,876,3107129,3048060001,Prospect Lefferts Gardens-Wingate
2016 - 17,P.S. 138,M138,M,5,269,144-176 EAST 128 STREET CONSOLIDATED LOCATION,3,661,JHS 025M - MARTA VALLE,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"144 176 EAST 128 STREET\n(40.021863, -75.21517)",10035,40.805953,-73.935179,11,9,242,1054502,1017760020,East Harlem North
2016 - 17,New Heights Middle School,K722,K,17,1032,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,1188,PS 384K,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A,"790 EAST NEW YORK AVENUE\n(40.662442, -73.936593)",11203,40.662447,-73.936382,9,41,876,3107129,3048060001,Prospect Lefferts Gardens-Wingate
2016 - 17,260 PLEASANT AVENUE CONSOLIDATED LOCATION,M435,M,4,223,,1,677,PS 003M,Thurgood Marshall Academy Lower School,0,0,1,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"260 PLEASANT AVENUE\n(38.370274, -86.340305)",10029,40.793856,-73.934028,11,8,178,1053152,1017130001,East Harlem North
2016 - 17,Urban Academy Laboratory High School,M565,M,2,459,317 EAST  67 STREET CONSOLIDATED LOCATION,5,1367,Hamilton Heights School,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"317 EAST 67 STREET\n(39.006943, -94.585196)",10065,40.765359,-73.960059,8,5,118,1083343,1014420001,Lenox Hill-Roosevelt Island
2016 - 17,251 MCDOUGAL STREET CONSOLIDATED LOCATION,K073,K,23,400,251 MCDOUGAL STREET CONSOLIDATED LOCATION,2,1400,East New York Elementary School of Excellence,Brooklyn Landmark Elementary School |  Brooklyn Environmental Exploration School (BEES) |  251 MCDOUGAL STREET CONSOLIDATED LOCATION,0,0,2,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"251 MCDOUGAL STREET\n(33.338527, -89.747595)",11233,40.680318,-73.910644,16,37,369,3041561,3015280001,Ocean Hill
